name,insurance_source,proportion
Austria,employer,13.208
Belgium,employer,24.335
Bulgaria,employer,25.450
Croatia,employer,15.686
Cyprus,employer,21.875
Czech Republic,employer,13.175
Denmark,employer,7.826
Estonia,employer,7.177
Finland,employer,19.079
France,employer,29.752
Germany,employer,10.782
Greece,employer,11.782
Hungary,employer,8.142
Ireland,employer,18.200
Italy,employer,7.330
Latvia,employer,25.000
Lithuania,employer,13.068
Luxembourg,employer,12.308
Malta,employer,19.231
Netherlands,employer,7.065
Poland,employer,31.034
Portugal,employer,16.449
Romania,employer,25.029
Slovakia,employer,12.048
Slovenia,employer,21.622
Spain,employer,7.400
Sweden,employer,9.368
Austria,private,8.176
Belgium,private,20.532
Bulgaria,private,9.769
Croatia,private,7.353
Cyprus,private,27.344
Czech Republic,private,7.775
Denmark,private,5.652
Estonia,private,3.828
Finland,private,11.513
France,private,14.669
Germany,private,14.313
Greece,private,10.632
Hungary,private,5.133
Ireland,private,33.333
Italy,private,3.620
Latvia,private,9.459
Lithuania,private,4.545
Luxembourg,private,26.154
Malta,private,14.103
Netherlands,private,36.957
Poland,private,13.506
Portugal,private,18.505
Romania,private,7.807
Slovakia,private,11.446
Slovenia,private,11.892
Spain,private,18.710
Sweden,private,5.664
Austria,public,77.044
Belgium,public,53.232
Bulgaria,public,57.841
Croatia,public,75.735
Cyprus,public,37.500
Czech Republic,public,77.538
Denmark,public,78.261
Estonia,public,80.383
Finland,public,56.579
France,public,53.099
Germany,public,74.237
Greece,public,72.989
Hungary,public,83.009
Ireland,public,30.061
Italy,public,76.380
Latvia,public,45.946
Lithuania,public,79.545
Luxembourg,public,61.538
Malta,public,55.128
Netherlands,public,55.163
Poland,public,53.017
Portugal,public,52.523
Romania,public,61.309
Slovakia,public,74.699
Slovenia,public,65.405
Spain,public,67.548
Sweden,public,76.906
Austria,others,1.572
Belgium,others,1.901
Bulgaria,others,6.941
Croatia,others,1.225
Cyprus,others,13.281
Czech Republic,others,1.512
Denmark,others,8.261
Estonia,others,8.612
Finland,others,12.829
France,others,2.479
Germany,others,0.668
Greece,others,4.598
Hungary,others,3.717
Ireland,others,18.405
Italy,others,12.670
Latvia,others,19.595
Lithuania,others,2.841
Luxembourg,others,nan
Malta,others,11.538
Netherlands,others,0.815
Poland,others,2.443
Portugal,others,12.523
Romania,others,5.855
Slovakia,others,1.807
Slovenia,others,1.081
Spain,others,6.342
Sweden,others,8.061
